创建 45 分钟开始、时长 10 分钟的音频切片…

========================================================================
开始：01_default_AprevOn_BprevOff
基线：第一轮参考前文，第二轮不参考前文，使用默认温度回退序列。
使用设备：CPU；正在加载 Whisper 模型 large-v2…
第 1 步/3：识别完整视频，生成字幕 A…
Transcribing: C:\Users\24735\OpenAI-Whisper---transcribe-only-certain-time-intervals\参数对比_45m00s_55m00s\slice_45m00s_55m00s.wav
[00:00.000 --> 00:01.640] 先輩?とか言ってくれて
[00:01.640 --> 00:03.320] まあ、慕ってるというか
[00:03.320 --> 00:05.700] キャッキャまとわりついてきてくれた後輩が
[00:05.700 --> 00:07.720] 打点して包丁を持って
[00:07.720 --> 00:10.320] 完全に殺すやつの持ち方で来ちゃったの
[00:10.320 --> 00:12.060] どんな気持ちなんだろう
[00:12.060 --> 00:13.700] (息を吐く音)
[00:13.780 --> 00:15.080] さっけないね
[00:15.560 --> 00:16.960] ねえ、マジでさ
[00:18.680 --> 00:19.700] 横顔のとこ
[00:19.700 --> 00:21.120] 美しすぎる
[00:21.120 --> 00:22.180] それだけ?
[00:22.980 --> 00:24.140] (息を吐く音)
[00:24.880 --> 00:26.460] 占い?この包丁
[00:27.160 --> 00:28.500] さっけないね
[00:29.120 --> 00:29.720] 先輩
[00:29.720 --> 00:31.100] よくヤンネレキャラとか
[00:31.100 --> 00:32.480] ジラン服の女の子が
[00:32.860 --> 00:35.880] 好きな人にこういうのを持って向けてる画像見るけど
[00:36.240 --> 00:37.020] あなたには
[00:37.480 --> 00:39.380] なんて挨拶したらいいかな
[00:41.940 --> 00:42.900] 久しぶり
[00:42.900 --> 00:43.320] あ、ちょ
[00:43.700 --> 00:45.320] 目が死にすぎてるの
[00:45.820 --> 00:46.780] ガチでいい
[00:47.160 --> 00:48.520] あれで、最初にさ
[00:49.560 --> 00:50.540] 最初の
[00:51.200 --> 00:53.600] イザロスカリファイみたいな動画で見た時の
[00:53.600 --> 00:54.820] 100倍目が死んでる
[00:55.280 --> 00:56.440] それとも
[00:57.260 --> 00:58.200] 初めまして
[00:59.720 --> 01:00.460] (息を吐く音)
[01:01.080 --> 01:01.460] (笑)
[01:02.780 --> 01:04.180] ここ栄誉すぎる
[01:12.640 --> 01:14.800] マジで凄い
[01:20.580 --> 01:23.640] まず沈黙で与えられる3Dって凄いんだから
[01:23.640 --> 01:25.000] 全てのゲームがそうなんだけど
[01:29.920 --> 01:30.740] (息を吐く音)
[01:34.180 --> 01:34.700] (息を吐く音)
[01:34.700 --> 01:35.260] (息を吐く音)
[01:35.260 --> 01:35.260] (息を吐く音)
[01:35.260 --> 01:35.260] (息を吐く音)
[01:35.260 --> 01:36.540] なんで変わっちゃったの
[01:39.020 --> 01:40.800] この力なんだろう
[01:47.700 --> 01:48.880] 昔みたいに
[01:50.020 --> 01:51.000] 踊ろうよ
[01:52.640 --> 01:53.720] 昔みたいに
[01:53.720 --> 01:55.260] なんだかぎこちないね
[01:56.160 --> 01:58.080] さっけないのは前からだけど
[01:58.080 --> 01:59.440] (息を吐く音)
[01:59.440 --> 02:01.020] あの時の先輩なのかどうか
[02:01.020 --> 02:05.160] 何度も確かめようとしてる感じで
[02:07.200 --> 02:09.080] ここで切ないんだよね
[02:14.360 --> 02:16.000] ここマジかっこよすぎる
[02:18.820 --> 02:20.440] 止めが上手すぎる
[02:20.440 --> 02:23.840] いった
[02:28.080 --> 02:29.040] (息を吐く音)
[02:35.600 --> 02:37.500] 気持ちよく踊ってたのに
[02:38.660 --> 02:40.720] パートナーへの配慮が足りないよ
[02:40.720 --> 02:42.160] (笑)
[02:42.760 --> 02:43.340] まぁいいや
[02:43.740 --> 02:44.500] もう一回
[02:53.420 --> 02:54.900] その武器かっこよすぎる
[03:00.900 --> 03:01.420] (息を吐く音)
[03:01.420 --> 03:02.140] え、このさ
[03:02.140 --> 03:04.320] お風呂を作ってるみたいな力が強い
[03:04.320 --> 03:07.020] (息を吐く音)
[03:07.760 --> 03:09.980] さすが配慮者になっちゃった
[03:09.980 --> 03:15.200] (笑)
[03:15.200 --> 03:16.780] (笑)
[03:17.360 --> 03:18.700] さすが先輩
[03:19.420 --> 03:20.760] でも私は
[03:20.760 --> 03:23.180] もっと華麗なのが好き
[03:24.240 --> 03:24.840] (息を吐く音)
